user_id,first_name,last_name,email,country,date_of_birth
S_U0001,Patricia,Meadows,csnyder@example.org,Saint Helena,1971-07-18
S_U0002,Laura,Burgess,john49@example.com,Netherlands,1995-12-03
S_U0003,John,Gardner,joshuaburns@example.com,Faroe Islands,1963-08-05
S_U0004,Alec,Watkins,amy10@example.net,Saint Kitts and Nevis,1979-04-27
S_U0005,Raymond,Harmon,randrews@example.com,Congo,1987-11-15
S_U0006,Ryan,Smith,cruzheather@example.com,Palau,1975-10-05
S_U0007,Amanda,Farrell,bruceluis@example.org,Micronesia,1998-07-07
S_U0008,Tammy,Forbes,mrivera@example.com,Taiwan,2001-09-20
S_U0009,Scott,Anderson,sarah35@example.org,Guam,2000-12-20
S_U0010,Mary,Williams,nscott@example.com,Croatia,1974-01-26
S_U0011,Rebecca,Smith,gibsondavid@example.org,Cyprus,1998-05-27
S_U0012,Shawn,Lopez,edwin19@example.com,Dominica,1970-10-16
S_U0013,Michael,Villanueva,garciarodney@example.org,Cocos (Keeling) Islands,1995-03-12
S_U0014,Joseph,Payne,mhenry@example.com,Algeria,2006-06-23
S_U0015,Deborah,Gutierrez,adamskelly@example.net,Zimbabwe,1973-09-29
S_U0016,Richard,Nguyen,uhernandez@example.org,Mozambique,1966-06-07
S_U0017,Amy,Stanley,meganterrell@example.com,Bermuda,1972-10-05
S_U0018,Gina,Reynolds,jasmin04@example.org,Saudi Arabia,1985-12-15
S_U0019,Lisa,Cooper,robertsonlisa@example.com,Congo,1966-12-09
S_U0020,Daniel,Taylor,cheryl49@example.net,Belarus,2005-08-12
S_U0021,Megan,Smith,tjordan@example.net,Sao Tome and Principe,1982-06-27
S_U0022,Stephanie,Peters,stanleyfelicia@example.org,Morocco,1969-06-28
S_U0023,Kathleen,Stewart,robinsonwhitney@example.net,Togo,1988-07-03
S_U0024,Shaun,Garner,vmendoza@example.org,Andorra,1995-03-28
S_U0025,Peggy,Burton,hclayton@example.com,Argentina,1994-10-16
S_U0026,Peter,Martinez,michellecastro@example.com,Saint Vincent and the Grenadines,1962-06-21
S_U0027,Cody,Rogers,jamesgarrett@example.net,Fiji,1961-03-28
S_U0028,Karina,Garcia,melaniebarker@example.net,Montserrat,2000-10-26
S_U0029,Gregory,Lowe,aaronallen@example.net,Burkina Faso,2006-10-10
S_U0030,Katherine,Horn,dbridges@example.com,Rwanda,2003-06-12
S_U0031,Shannon,Porter,kathryn42@example.org,Kuwait,2000-04-15
S_U0032,Jennifer,Bradley,sherryparks@example.net,Jersey,1996-09-12
S_U0033,Craig,Allen,eric54@example.org,Christmas Island,1985-08-01
S_U0034,Shane,Owens,ycook@example.com,Burkina Faso,1978-03-14
S_U0035,Kenneth,Williams,carlosbriggs@example.net,Portugal,1971-07-08
S_U0036,Maria,Reeves,cassandra71@example.net,Liechtenstein,2007-08-29
S_U0037,Jacob,Andrade,torresjohn@example.com,Lithuania,1978-04-11
S_U0038,Christina,Griffin,pamela25@example.com,British Indian Ocean Territory (Chagos Archipelago),1990-03-16
S_U0039,Ashley,Johnson,makayla31@example.net,Gabon,1974-01-09
S_U0040,Jonathan,Bender,qbrooks@example.com,United Kingdom,1984-02-07
S_U0041,George,Barnes,fieldsalexandra@example.com,France,1994-05-23
